unique_id,ds,Open,High,Low,Close,Avg,Diff
QQQ,2024-04-17 12:10:00,301.2504,301.3685,300.9059,301.2307,301.188875,-0.3370750000000271
QQQ,2024-04-17 12:15:00,301.2405,301.6933,300.7582,300.7878,301.11995,-0.06892499999997881
QQQ,2024-04-17 12:20:00,300.7976,302.1067,300.6598,301.8583,301.3556,0.23564999999996417
QQQ,2024-04-17 12:25:00,301.8606,301.9393,301.4275,301.8015,301.757225,0.4016250000000241
QQQ,2024-04-17 12:30:00,301.8212,301.9196,301.4275,301.5801,301.6871,-0.07012500000001864
QQQ,2024-04-17 12:35:00,301.5555,302.2641,301.4858,302.1263,301.857925,0.1708250000000362
QQQ,2024-04-17 12:40:00,302.1067,302.2346,301.7523,301.9393,302.00822500000004,0.15030000000001564
QQQ,2024-04-17 12:45:00,301.959,302.3921,301.8409,302.2377,302.10742500000003,0.09919999999999618
QQQ,2024-04-17 12:50:00,302.2148,302.274,301.6883,302.2641,302.11030000000005,0.0028750000000172804
QQQ,2024-04-17 12:55:00,302.274,302.7464,302.2051,302.5791,302.45115,0.34084999999993215
QQQ,2024-04-17 13:00:00,302.5988,303.5338,302.461,303.4157,303.002325,0.5511750000000006
QQQ,2024-04-17 13:05:00,303.4157,303.4945,302.7956,303.0614,303.1918,0.18947500000001583
QQQ,2024-04-17 13:10:00,303.0515,303.2287,302.4413,302.5199,302.81034999999997,-0.3814500000000294
QQQ,2024-04-17 13:15:00,302.52,302.5299,301.4374,301.5665,302.01345000000003,-0.7968999999999369
QQQ,2024-04-17 13:20:00,301.5653,301.9393,301.5358,301.9197,301.740025,-0.27342500000003156
QQQ,2024-04-17 13:25:00,301.9295,302.0082,301.5358,301.8606,301.833525,0.09350000000000591
QQQ,2024-04-17 13:30:00,301.8606,301.8704,301.2504,301.6391,301.655125,-0.17840000000001055
QQQ,2024-04-17 13:35:00,301.6834,302.0476,301.5161,301.7523,301.74985000000004,0.09472500000003947
QQQ,2024-04-17 13:40:00,301.772,301.772,300.8862,301.1224,301.38815,-0.36170000000004165
QQQ,2024-04-17 13:45:00,301.1322,301.4177,300.9649,301.4109,301.231425,-0.15672499999999445
QQQ,2024-04-17 13:50:00,301.4078,301.5119,301.2208,301.2602,301.350175,0.11874999999997726
QQQ,2024-04-17 13:55:00,301.2208,301.4767,301.1322,301.27,301.274925,-0.07524999999998272
QQQ,2024-04-17 14:00:00,301.2405,301.713,300.9649,301.5161,301.358625,0.08370000000002165
QQQ,2024-04-17 14:05:00,301.5063,301.7622,301.2996,301.6047,301.54319999999996,0.18457499999993843
QQQ,2024-04-17 14:10:00,301.6047,301.8508,301.4177,301.7819,301.663775,0.12057500000003074
QQQ,2024-04-17 14:15:00,301.772,302.1067,301.4078,302.067,301.838375,0.1745999999999981
QQQ,2024-04-17 14:20:00,302.0673,302.0967,301.5653,301.7917,301.88025,0.04187500000000455
QQQ,2024-04-17 14:25:00,301.7868,302.5102,301.713,302.461,302.11775,0.23750000000001137
QQQ,2024-04-17 14:30:00,302.4413,302.4905,301.8015,301.9073,302.16015000000004,0.04240000000004329
QQQ,2024-04-17 14:35:00,301.9098,301.9689,301.2235,301.4177,301.629975,-0.5301750000000425
QQQ,2024-04-17 14:40:00,301.4275,301.6736,301.2602,301.6637,301.50625,-0.12372499999997899
QQQ,2024-04-17 14:45:00,301.6637,301.8409,301.4472,301.7752,301.68175,0.17549999999999955
QQQ,2024-04-17 14:50:00,301.7917,301.9474,301.6047,301.8015,301.786325,0.10457499999995434
QQQ,2024-04-17 14:55:00,301.7819,302.1116,301.6736,301.8766,301.860925,0.0746000000000322
QQQ,2024-04-17 15:00:00,301.9098,302.1067,301.457,301.8508,301.831075,-0.029850000000010368
QQQ,2024-04-17 15:05:00,301.8606,301.8606,300.9059,301.0929,301.42999999999995,-0.4010750000000485
QQQ,2024-04-17 15:10:00,301.083,301.3291,300.5023,300.522,300.8591,-0.5708999999999378
QQQ,2024-04-17 15:15:00,300.5122,300.6893,300.3153,300.5811,300.524475,-0.3346250000000168
QQQ,2024-04-17 15:20:00,300.6007,300.8074,300.3645,300.6007,300.593325,0.06884999999999764
QQQ,2024-04-17 15:25:00,300.5964,301.2602,300.5122,301.2356,300.90110000000004,0.3077750000000492
QQQ,2024-04-17 15:30:00,301.2553,301.3094,300.8567,301.0633,301.121175,0.22007499999995161
QQQ,2024-04-17 15:35:00,301.0535,301.6047,300.8862,301.1716,301.179,0.05782499999997981
QQQ,2024-04-17 15:40:00,301.1618,301.457,300.7189,300.7828,301.030125,-0.14887499999997544
QQQ,2024-04-17 15:45:00,300.7779,301.4472,300.463,301.1224,300.952625,-0.07749999999998636
QQQ,2024-04-17 15:50:00,301.1322,301.5653,300.5712,301.4177,301.1716,0.21897500000000036
QQQ,2024-04-17 15:55:00,301.4226,301.7031,301.083,301.2799,301.37215000000003,0.2005500000000211
QQQ,2024-04-17 16:00:00,305.8567,306.8803,305.6992,305.8271,306.065825,4.693674999999985
QQQ,2024-04-17 16:05:00,305.8173,305.9846,304.6263,305.2415,305.417425,-0.6484000000000378
QQQ,2024-04-17 16:10:00,305.1972,306.2443,304.9856,305.5515,305.49465,0.07722499999999854
QQQ,2024-04-17 16:15:00,305.522,305.7779,304.1736,304.646,305.029875,-0.4647749999999746
QQQ,2024-04-17 16:20:00,304.6263,305.3891,304.2425,305.1086,304.841625,-0.18824999999998226
QQQ,2024-04-17 16:25:00,305.1086,305.9748,304.6263,305.9649,305.41865,0.5770249999999919
QQQ,2024-04-17 16:30:00,305.96,307.146,305.9157,306.9246,306.486575,1.0679250000000025
QQQ,2024-04-17 16:35:00,306.9295,307.4315,306.7031,306.8802,306.986075,0.4995000000000118
QQQ,2024-04-17 16:40:00,306.8803,307.2248,306.5257,306.9393,306.892525,-0.0935500000000502
QQQ,2024-04-17 16:45:00,306.9689,307.0672,306.0437,306.4374,306.6293,-0.26322499999997717
QQQ,2024-04-17 16:50:00,306.4177,306.6637,306.1224,306.4964,306.42505,-0.20425000000000182
QQQ,2024-04-17 16:55:00,306.4866,307.0771,306.1815,306.7252,306.6176,0.1925499999999829
QQQ,2024-04-17 17:00:00,306.7228,307.2544,306.6195,306.9787,306.89385000000004,0.2762500000000614
QQQ,2024-04-17 17:05:00,306.9787,307.2149,306.6445,307.126,306.99102500000004,0.0971749999999929
QQQ,2024-04-17 17:10:00,307.1657,307.2641,306.3783,307.0673,306.96885,-0.022175000000061118
QQQ,2024-04-17 17:15:00,307.0672,307.1165,306.6539,307.0624,306.975,0.006150000000047839
QQQ,2024-04-17 17:20:00,307.0742,307.333,306.4866,306.585,306.8697,-0.10529999999999973
QQQ,2024-04-17 17:25:00,306.5949,306.7326,306.3193,306.7031,306.587475,-0.28222500000003947
QQQ,2024-04-17 17:30:00,306.713,307.0165,306.4275,306.5062,306.6658,0.07832500000000664
QQQ,2024-04-17 17:35:00,306.4767,306.6637,305.4236,305.5002,306.01605,-0.6497499999999832
QQQ,2024-04-17 17:40:00,305.4925,305.4925,304.4295,304.6165,305.00775,-1.0083000000000197
QQQ,2024-04-17 17:45:00,304.6263,304.646,303.2779,303.3271,303.969325,-1.038424999999961
QQQ,2024-04-17 17:50:00,303.3271,303.8193,303.1598,303.4846,303.4477,-0.5216250000000286
QQQ,2024-04-17 17:55:00,303.4748,304.0161,303.3173,303.8272,303.65885,0.21114999999997508
QQQ,2024-04-17 18:00:00,303.8291,304.0063,303.2681,303.4545,303.6395,-0.019349999999974443
QQQ,2024-04-17 18:05:00,303.4452,303.9078,303.0811,303.4747,303.47720000000004,-0.16229999999995925
QQQ,2024-04-17 18:10:00,303.4945,304.1539,303.4354,304.1244,303.80205,0.32484999999996944
QQQ,2024-04-17 18:15:00,304.1539,304.4787,303.77,303.8094,304.053,0.2509499999999889
QQQ,2024-04-17 18:20:00,303.8094,304.2622,303.6815,303.9767,303.93245,-0.12054999999998017
